temperature,humidity,voc,ammonia,alcohol,timestamp,stage,cycle_id
35.9,61.7,563,1472,977,27-09-2025 21:17,Fresh,1
35.9,61.5,563,1477,981,27-09-2025 21:22,Fresh,1
35.9,60.9,559,1429,949,27-09-2025 21:27,Fresh,1
35.9,61.2,547,1398,934,27-09-2025 21:32,Fresh,1
35.9,61.3,560,1390,955,27-09-2025 21:37,Fresh,1
35.9,61.5,566,1405,971,27-09-2025 21:42,Fresh,1
36,61.4,575,1472,982,27-09-2025 21:47,Fresh,1
36,61.5,583,1495,1007,27-09-2025 21:52,Fresh,1
36,61.5,593,1518,1020,27-09-2025 21:57,Fresh,1
36,61.5,601,1517,1045,27-09-2025 22:02,Fresh,1
36.1,61.8,618,1483,1094,27-09-2025 22:07,Fresh,1
36.1,61.5,638,1529,1101,27-09-2025 22:12,Fresh,1
36.1,61.7,625,1481,1095,27-09-2025 22:17,Fresh,1
36.1,61.7,594,1509,1049,27-09-2025 22:22,Fresh,1
36.1,61.3,582,1507,1052,27-09-2025 22:27,Fresh,1
36.1,62.3,566,1456,1046,27-09-2025 22:32,Fresh,1
36.1,62.4,563,1425,1054,27-09-2025 22:37,Fresh,1
36.2,62.4,567,1398,1057,27-09-2025 22:42,Fresh,1
36.2,62.5,576,1447,1069,27-09-2025 22:47,Fresh,1
36.2,62.8,577,1412,1072,27-09-2025 22:52,Fresh,1
36.2,62.7,586,1444,1075,27-09-2025 22:57,Fresh,1
36.2,62.8,663,1563,1177,27-09-2025 23:02,Fresh,1
36.2,62.6,676,1594,1182,27-09-2025 23:07,Fresh,1
36.2,63,657,1471,1154,27-09-2025 23:12,Fresh,1
36.2,63.3,637,1461,1150,27-09-2025 23:17,Fresh,1
36.2,62.8,637,1486,1120,27-09-2025 23:22,Fresh,1
36.2,63.1,624,1458,1104,27-09-2025 23:27,Fresh,1
36.2,63.1,612,1470,1099,27-09-2025 23:32,Fresh,1
36.2,63.4,637,1453,1136,27-09-2025 23:37,Fresh,1
36.2,63.7,631,1467,1137,27-09-2025 23:42,Fresh,1
36.2,63.5,624,1459,1115,27-09-2025 23:48,Fresh,1
36.2,63.4,630,1535,1118,27-09-2025 23:53,Fresh,1
36.2,63.6,621,1472,1115,27-09-2025 23:58,Fresh,1
36.2,63.7,624,1456,1114,28-09-2025 00:03,Fresh,1
36.2,63.7,624,1445,1111,28-09-2025 00:08,Fresh,1
36.2,64,627,1456,1131,28-09-2025 00:13,Fresh,1
36.2,63.7,637,1476,1123,28-09-2025 00:18,Fresh,1
36.2,64.1,631,1451,1129,28-09-2025 00:23,Fresh,1
36.1,63.9,639,1487,1129,28-09-2025 00:28,Fresh,1
36.1,64.3,624,1463,1111,28-09-2025 00:33,Fresh,1
